,Parm Code,Name
286,81102,Pm10 Total 0-10um Stp
287,82101,Aluminum Pm10 Stp
288,82102,Antimony Pm10 Stp
289,82103,Arsenic Pm10 Stp
290,82105,Beryllium Pm10 Stp
291,82107,Barium Pm10 Stp
292,82110,Cadmium Pm10 Stp
293,82111,Calcium Pm10 Stp
294,82112,Chromium Pm10 Stp
295,82113,Cobalt Pm10 Stp
296,82114,Copper Pm10 Stp
297,82126,Iron Pm10 Stp
298,82128,Lead Pm10 Stp
299,82132,Manganese Pm10 Stp
300,82134,Molybdenum Pm10 Stp
301,82136,Nickel Pm10 Stp
302,82140,Magnesium Pm10 Stp
303,82154,Selenium Pm10 Stp
304,82160,Tin Pm10 Stp
305,82164,Vanadium Pm10 Stp
306,82166,Silver Pm10 Stp
307,82167,Zinc Pm10 Stp
308,82173,Thallium Pm10 Stp
309,82180,Potassium Pm10 Stp
310,82184,Sodium Pm10 Stp
311,85101,Pm10 - Lc
312,86101,Pm10-2.5 - Local Conditions
313,88101,Pm2.5 - Local Conditions
314,88102,Antimony Pm2.5 Lc
315,88103,Arsenic Pm2.5 Lc
316,88104,Aluminum Pm2.5 Lc
317,88107,Barium Pm2.5 Lc
318,88109,Bromine Pm2.5 Lc
319,88110,Cadmium Pm2.5 Lc
320,88111,Calcium Pm2.5 Lc
321,88112,Chromium Pm2.5 Lc
322,88113,Cobalt Pm2.5 Lc
323,88114,Copper Pm2.5 Lc
324,88115,Chlorine Pm2.5 Lc
325,88117,Cerium Pm2.5 Lc
326,88118,Cesium Pm2.5 Lc
327,88121,Europium Pm2.5 Lc
328,88124,Gallium Pm2.5 Lc
329,88126,Iron Pm2.5 Lc
330,88127,Hafnium Pm2.5 Lc
331,88128,Lead Pm2.5 Lc
332,88131,Indium Pm2.5 Lc
333,88132,Manganese Pm2.5 Lc
334,88133,Iridium Pm2.5 Lc
335,88134,Molybdenum Pm2.5 Lc
336,88136,Nickel Pm2.5 Lc
337,88140,Magnesium Pm2.5 Lc
338,88142,Mercury Pm2.5 Lc
339,88143,Gold Pm2.5 Lc
340,88146,Lanthanum Pm2.5 Lc
341,88147,Niobium Pm2.5 Lc
342,88152,Phosphorus Pm2.5 Lc
343,88154,Selenium Pm2.5 Lc
344,88160,Tin Pm2.5 Lc
345,88161,Titanium Pm2.5 Lc
346,88162,Samarium Pm2.5 Lc
347,88163,Scandium Pm2.5 Lc
348,88164,Vanadium Pm2.5 Lc
349,88165,Silicon Pm2.5 Lc
350,88166,Silver Pm2.5 Lc
351,88167,Zinc Pm2.5 Lc
352,88168,Strontium Pm2.5 Lc
353,88169,Sulfur Pm2.5 Lc
354,88170,Tantalum Pm2.5 Lc
355,88172,Terbium Pm2.5 Lc
356,88176,Rubidium Pm2.5 Lc
357,88180,Potassium Pm2.5 Lc
358,88183,Yttrium Pm2.5 Lc
359,88184,Sodium Pm2.5 Lc
360,88185,Zirconium Pm2.5 Lc
361,88186,Tungsten Pm2.5 Lc
362,88203,Chloride Pm2.5 Lc
363,88301,Ammonium Ion Pm2.5 Lc
364,88302,Sodium Ion Pm2.5 Lc
365,88303,Potassium Ion Pm2.5 Lc
366,88304,Ocx Carbon Pm2.5 Lc
367,88305,Oc Csn Unadjusted Pm2.5 Lc Tot
368,88306,Total Nitrate Pm2.5 Lc
369,88307,EC Csn Pm2.5 Lc Tot
370,88308,Carbonate Carbon Csn Pm2.5 Lc Tot
371,88309,Volatile Nitrate Pm2.5 Lc
372,88310,Non-Volatile Nitrate Pm2.5 Lc
373,88311,Ocx2 Carbon Pm2.5 Lc
374,88312,Total Carbon Pm2.5 Lc
375,88313,Black Carbon Pm2.5 Lc
376,88316,Optical Ec Pm2.5 Lc Tot
377,88320,Oc Pm2.5 Lc Tor
378,88321,EC Pm2.5 Lc Tor
379,88322,Och Pm2.5 Lc Tot
380,88323,EH Improve Pm2.5 Lc
381,88324,Oc1 Pm2.5 Lc
382,88325,Oc2 Pm2.5 Lc
383,88326,Oc3 Pm2.5 Lc
384,88327,Oc4 Pm2.5 Lc
385,88328,Op Pm2.5 Lc Tor
386,88329,EC1 Pm2.5 Lc
387,88330,EC2 Pm2.5 Lc
388,88331,EC3 Pm2.5 Lc
389,88332,Oc1 Csn Unadjusted Pm2.5 Lc Tot
390,88333,Oc2 Csn Unadjusted Pm2.5 Lc Tot
391,88334,Oc3 Csn Unadjusted Pm2.5 Lc Tot
392,88335,Oc4 Csn Unadjusted Pm2.5 Lc Tot
393,88336,Op Csn Pm2.5 Lc Tot
394,88355,Oc Csn_Rev Unadjusted Pm2.5 Lc Tot
395,88357,EC Csn_Rev Unadjusted Pm2.5 Lc Tot
396,88370,Oc Csn_Rev Unadjusted Pm2.5 Lc Tor
397,88374,Oc1 Csn_Rev Unadjusted Pm2.5 Lc
398,88375,Oc2 Csn_Rev Unadjusted Pm2.5 Lc
399,88376,Oc3 Csn_Rev Unadjusted Pm2.5 Lc
400,88377,Oc4 Csn_Rev Unadjusted Pm2.5 Lc
401,88378,Op Csn_Rev Unadjusted Pm2.5 Lc Tor
402,88379,Op Pm2.5 Lc Tot
403,88380,EC Csn_Rev Unadjusted Pm2.5 Lc Tor
404,88382,Oc Pm2.5 Lc Tot
405,88383,EC1 Csn_Rev Unadjusted Pm2.5 Lc
406,88384,EC2 Csn_Rev Unadjusted Pm2.5 Lc
407,88385,EC3 Csn_Rev Unadjusted Pm2.5 Lc
408,88388,Op Csn_Rev Unadjusted Pm2.5 Lc Tot
409,88403,Sulfate Pm2.5 Lc
410,88502,Acceptable Pm2.5 Aqi & Speciation Mass
